THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Heartbreak,Christine,The_House_of_Love,1988,
Heartbreak,Donâ€™t_You_Want_Me?,The_Human_League,1981,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c
Heartbreak,I_Want_You_Back,The_Jackson_5,1970,http://open.spotify.com/track/2nPXRL8SX00vl9zeQHMSQp
Heartbreak,Is_She_Really_Going_Out_With_Him?,Joe_Jackson,1978,http://open.spotify.com/track/3P97XnD4osOqR4lRPalNPV
Heartbreak,Iâ€™d_Rather_Go_Blind,Etta_James,1969,http://open.spotify.com/track/2xxX1FmYQk7P0I5stRyNsT
Heartbreak,Devil_Got_My_Woman,Skip_James,1931,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj
Heartbreak,Some_Things_Last_a_Long_Time,Daniel_Johnston,1990,
Heartbreak,I_Guess_Thatâ€™s_Why_They_Call_it_the_Blues,Elton_John,1983,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6
Heartbreak,Tainted_Love,Gloria_Jones,1964,
Heartbreak,Delilah,Tom_Jones,1968,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
Heartbreak,Piece_of_My_Heart,Janis_Joplin_and_Big_Brother_and_the_Holding_Company,1968,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6
Heartbreak,Love_Will_Tear_Us_Apart,Joy_Division,1980,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
Heartbreak,Caught_Out_There,Kelis,1999,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z
Heartbreak,You_Donâ€™t_Know_My_Name,Alicia_Keys,2003,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF
Heartbreak,Mr_Brightside,The_Killers,2003,http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI
Heartbreak,The_Thrill_is_Gone,BB_King,1969,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB
Heartbreak,Itâ€™s_Too_Late,Carole_King,1971,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7
Heartbreak,Lola,The_Kinks,1970,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx
